index,gamma,rho_obs,z,mu_T,rho_N,residual,ratio,spacing
220,520.106310411723257,0.702853083503,1.9452416438,0.6797485947,0.477763395796,0.225089687706,1.4711321329,4.671253244424
221,521.525193449492008,0.703286677126,1.9464416733,0.6798879767,0.478156155981,0.225130521144,1.4708305400,1.418883037769
222,522.456696177730237,0.703570692212,1.9472277237,0.6799792120,0.478413444844,0.225157247368,1.4706331935,0.931502728238
223,523.960530892015868,0.704028144339,1.9484937848,0.6801260552,0.478827884547,0.225200259791,1.4703156751,1.503834714286
224,525.077385687279616,0.704367032049,1.9494317027,0.6802347549,0.479134935378,0.225232096671,1.4700807227,1.116854795264
225,529.806226318706877,0.705793963692,1.9533809303,0.6806916658,0.480428068860,0.225365894832,1.4690939382,4.728840631427
226,530.866917883961037,0.706112279212,1.9542619119,0.6807934197,0.480716593256,0.225395685957,1.4688743620,1.060691565254
227,532.688183028293679,0.706657363587,1.9557705072,0.6809675176,0.481210710692,0.225446652896,1.4684988257,1.821265144333
228,533.779630753768743,0.706983129371,1.9566721083,0.6810714783,0.481506045026,0.225477084345,1.4682746700,1.091447725475
229,535.664314075873222,0.707544088136,1.9582246381,0.6812503417,0.482014651798,0.225529436338,1.4678891720,1.884683322104
230,537.069759083122335,0.707961122802,1.9593788384,0.6813831886,0.482392807293,0.225568315510,1.4676029827,1.405445007249
231,538.428526176247942,0.708363270565,1.9604918371,0.6815111919,0.482757496804,0.225605773760,1.4673273336,1.358767093126
232,540.213166376228173,0.708889922873,1.9619494191,0.6816786743,0.483235142831,0.225654780042,1.4669668243,1.784640199980
233,541.847437121201324,0.709370676842,1.9632799712,0.6818314116,0.483671209925,0.225699466917,1.4666382085,1.634270744973
